Title: Composition: Survivor Passport - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

                                                                                       0                                                                                        1                                                                                        2                                                                                        3                                       4
Official URL: http://hl7.eu/fhir/ig/pcsp/StructureDefinition/Composition-surpass-eu-pcsp Official URL: http://hl7.eu/fhir/ig/pcsp/StructureDefinition/Composition-surpass-eu-pcsp Official URL: http://hl7.eu/fhir/ig/pcsp/StructureDefinition/Composition-surpass-eu-pcsp Official URL: http://hl7.eu/fhir/ig/pcsp/StructureDefinition/Composition-surpass-eu-pcsp                         Version:  0.2.0
                                                                 Draft  as of 2024-05-27                                                                  Draft  as of 2024-05-27                                                                  Draft  as of 2024-05-27                                                                  Draft  as of 2024-05-27 Computable Name: CompositionSurpassPcsp

                           Name                         Flags                         Card.                                                                                         Type                                                                                Description & Constraints
                    Composition                           NaN                           NaN                                                                                  Composition                                                                                                      NaN
                     identifier                           NaN                          0..1                                                                                   Identifier                                                                     Business identifier for this SurPass
                         status                           NaN                          1..1                                                                                         code                                                               preliminary|final|amended|entered-in-error
                           type                           NaN                          1..1                                                                              CodeableConcept                         Kind of composition (LOINC if possible) Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                              Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
                           code                           NaN                          1..1                                                                                         code                                              Symbol in syntax defined by the system Fixed Value: surpass
                         coding                           NaN                           NaN                                                                                          NaN                                                                                                      NaN
                        display                           NaN                          0..1                                                                                       string                                                                       Childhood Cancer Survivor Passport
                        subject                           NaN                          1..1                                                                     Reference(Patient: PCSP)                                                                 Who and/or what the composition is about
                           date                           NaN                          1..1                                                                                     dateTime                                                                         SurPass Composition editing time
                         author                           NaN                          1..* Reference(Practitioner | PractitionerRole | Device | Patient | RelatedPerson | Organization)                                                                    Who and/or what authored this SurPass
                          title                           NaN                          1..1                                                                                       string                                                                       Childhood Cancer Survivor Passport
                       attester                           NaN                          0..*                                                                              BackboneElement                                                                Who attested the accuracy of this SurPass
             Slices for section                           NaN                          1..*                                                                              BackboneElement                               Composition is broken into sections Slice: Unordered, Open by pattern:code
                    section:flt                           NaN                          1..*                                                                              BackboneElement                                                                               Cancer diagnosis Narrative
                          title                           NaN                          1..1                                                                                       string                                                                         Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                         Classification of section (recommended) Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                              Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                         Identity of the terminology system Fixed Value: http://loinc.org
                           code                           NaN                          1..1                                                                                         code                                              Symbol in syntax defined by the system Fixed Value: 72135-7
                           text                           NaN                          1..1                                                                                    Narrative                                                    Text summary of the section, for human interpretation
               Slices for entry                           NaN                          1..*                                         Reference(Condition | Procedure | DocumentReference)                             Tumor FLT detail Slice: Unordered, Open by type:resolve(), profile:resolve()
            entry:primaryCancer                           NaN                          1..*                                                         Reference(Condition: Primary Cancer)                                                                                           Primary Cancer
               entry:metastasis                           NaN                          0..*                                                      Reference(Condition: Metastatic Cancer)                                                                                               Metastasis
                      entry:flt                           NaN                          0..*                                                   Reference(Procedure: Front Line Treatment)                                                                                                      FLT
                    emptyReason                           NaN                          0..1                                                                              CodeableConcept                                                                                Why this section is empty
             Slices for section                           NaN                          1..*                                                                                          NaN                                                    Nested Section Slice: Unordered, Open by pattern:code
           section:chemotherapy                           NaN                          0..1                                                                              BackboneElement                                                                                             Chemotherapy
                          title                           NaN                          1..1                                                                                       string                                                                         Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                         Classification of section (recommended) Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                              Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri                                         Identity of the terminology system Fixed Value: http://loinc.org
                           code                           NaN                          1..1                                                                                         code                                              Symbol in syntax defined by the system Fixed Value: 11486-8
                           text                           NaN                          1..1                                                                                    Narrative                                                    Text summary of the section, for human interpretation
               Slices for entry                           NaN                          1..*    Reference(MedicationAdministration | MedicationStatement | Procedure | DocumentReference)                                 Chemotherapy Slice: Unordered, Open by type:resolve(), profile:resolve()
 entry:medicationAdministration                           NaN                          1..*                                            Reference(MedicationAdministration: Chemotherapy)                                                                    MedicationAdministration Chemotherapy
      entry:medicationStatement                           NaN                          0..*                                                 Reference(MedicationStatement: Chemotherapy)                                                                        MedicationStatement: Chemotherapy
                    emptyReason                           NaN                          0..1                                                                              CodeableConcept                                                                                Why this section is empty
section:stemCellTransplantation                           NaN                          0..1                                                                              BackboneElement                                                                                Stem Cell Transplantation
                          title                           NaN                          1..1                                                                                       string                                                                         Label for section (e.g. for ToC)
                           code                           NaN                          1..1                                                                              CodeableConcept                         Classification of section (recommended) Required Pattern: At least the following
                         coding                           NaN                          1..*                                                                                       Coding                                              Code defined by a terminology system Fixed Value: (complex)
                         system                           NaN                          1..1                                                                                          uri Identity of the terminology system Fixed Value: http://hl7.eu/fhir/ig/pcsp/CodeSystem/cs-generic-eu-pcsp
